P (bar),T (K),nuf (m3/kg),nug (m3/kg),uf (kJ/kg),ug (kJ/kg)
1,372.755917,0.001043156,1.69412709,417.4054316,2505.582854
0.99,372.4752089,0.001042938,1.710126617,416.2225578,2505.249227
0.98,372.192142,0.001042718,1.726442037,415.0298309,2504.912478
0.97,371.9066716,0.001042497,1.743082914,413.8270644,2504.572547
0.96,371.6187518,0.001042275,1.760059204,412.6140664,2504.229371
0.95,371.3283352,0.001042051,1.777381276,411.3906391,2503.882888
0.94,371.0353729,0.001041825,1.795059932,410.1565787,2503.533031
0.93,370.7398148,0.001041599,1.813106432,408.9116754,2503.179734
0.92,370.441609,0.00104137,1.83153252,407.6557128,2502.822927
0.91,370.140702,0.00104114,1.850350445,406.3884676,2502.462538
0.9,369.8370387,0.001040909,1.869572994,405.1097098,2502.098492
0.89,369.5305622,0.001040676,1.889213519,403.8192018,2501.730714
0.88,369.2212138,0.001040442,1.90928597,402.5166984,2501.359125
0.87,368.9089329,0.001040205,1.929804927,401.2019464,2500.983642
0.86,368.5936568,0.001039968,1.950785641,399.8746844,2500.604182
0.85,368.2753207,0.001039728,1.972244065,398.534642,2500.220658
0.84,367.9538578,0.001039487,1.994196904,397.1815398,2499.83298
0.83,367.6291989,0.001039244,2.016661653,395.8150891,2499.441054
0.82,367.3012723,0.001038999,2.039656649,394.4349907,2499.044785
0.81,366.9700039,0.001038752,2.063201118,393.0409353,2498.644072
0.8,366.6353171,0.001038504,2.087315236,391.6326026,2498.238812
0.79,366.2971322,0.001038254,2.112020182,390.2096607,2497.828899
0.78,365.955367,0.001038001,2.137338206,388.7717656,2497.41422
0.77,365.609936,0.001037747,2.163292695,387.3185608,2496.994662
0.76,365.2607507,0.00103749,2.189908247,385.8496763,2496.570105
0.75,364.9077189,0.001037232,2.217210755,384.3647283,2496.140425
0.74,364.5507454,0.001036972,2.245227487,382.863318,2495.705493
0.73,364.1897308,0.001036709,2.273987184,381.3450315,2495.265175
0.72,363.8245721,0.001036444,2.303520157,379.8094384,2494.819334
0.71,363.4551621,0.001036177,2.333858401,378.2560909,2494.367823
0.7,363.0813892,0.001035907,2.36503571,376.6845235,2493.910492
0.69,362.7031372,0.001035635,2.397087806,375.0942513,2493.447186
0.68,362.3202853,0.001035361,2.430052483,373.4847691,2492.977739
0.67,361.9327072,0.001035084,2.463969753,371.8555506,2492.501984
0.66,361.5402714,0.001034805,2.49888202,370.2060467,2492.01974
0.65,361.1428408,0.001034523,2.534834253,368.5356844,2491.530825
0.64,360.7402719,0.001034239,2.571874192,366.8438654,2491.035043
0.63,360.332415,0.001033952,2.61005256,365.1299644,2490.532192
0.62,359.9191135,0.001033662,2.649423303,363.3933274,2490.022062
0.61,359.5002034,0.001033369,2.690043852,361.6332704,2489.504429
0.6,359.075513,0.001033073,2.731975406,359.8490767,2488.979063
0.59,358.6448626,0.001032774,2.775283249,358.0399954,2488.44572
0.58,358.2080633,0.001032472,2.820037102,356.2052389,2487.904145
0.57,357.7649172,0.001032167,2.866311502,354.3439803,2487.354069
0.56,357.3152162,0.001031858,2.914186229,352.4553512,2486.795212
0.55,356.8587415,0.001031546,2.963746778,350.5384382,2486.227277
0.54,356.3952628,0.001031231,3.015084879,348.5922801,2485.649952
0.53,355.9245375,0.001030912,3.068299081,346.6158644,2485.062909
0.52,355.4463099,0.001030589,3.123495399,344.6081234,2484.465802
0.51,354.96031,0.001030263,3.180788034,342.5679302,2483.858265
0.5,354.4662526,0.001029933,3.240300188,340.4940941,2483.23991
0.49,353.9638359,0.001029598,3.302164965,338.3853556,2482.61033
0.48,353.4527404,0.00102926,3.366526395,336.240381,2481.969092
0.47,352.9326274,0.001028917,3.433540577,334.0577564,2481.315734
0.46,352.4031372,0.001028569,3.503376982,331.8359807,2480.649771
0.45,351.8638878,0.001028217,3.576219915,329.5734587,2479.970682
0.44,351.3144723,0.00102786,3.652270184,327.2684927,2479.277917
0.43,350.7544573,0.001027499,3.731746991,324.9192733,2478.570887
0.42,350.1833801,0.001027132,3.814890103,322.5238694,2477.848963
0.41,349.6007462,0.00102676,3.901962324,320.0802167,2477.111474
0.4,349.0060261,0.001026382,3.993252341,317.5861053,2476.3577
0.39,348.398652,0.001025998,4.089078005,315.0391652,2475.586869
0.38,347.778014,0.001025609,4.189790118,312.4368501,2474.798153
0.37,347.1434554,0.001025213,4.295776837,309.7764198,2473.990658
0.36,346.4942683,0.00102481,4.407468797,307.054919,2473.163422
0.35,345.8296875,0.001024401,4.525345106,304.2691543,2472.315402
0.34,345.1488847,0.001023985,4.649940392,301.4156676,2471.445473
0.33,344.4509603,0.001023561,4.781853106,298.4907052,2470.552408
0.32,343.7349361,0.00102313,4.921755386,295.4901829,2469.634876
0.31,342.9997445,0.00102269,5.070404787,292.4096454,2468.691422
0.3,342.2442179,0.001022242,5.228658355,289.2442194,2467.720455
0.29,341.4670756,0.001021785,5.397489571,285.9885585,2466.720229
0.28,340.6669079,0.001021318,5.578008893,282.6367794,2465.688822
0.27,339.8421586,0.001020841,5.771488818,279.1823863,2464.62411
0.26,338.9911033,0.001020353,5.979394665,275.6181813,2463.523742
